Run,BlockNum,TrialNum,BlockSplit,Condition,FaceNum,FaceGender,FaceExpression,FaceFileName,FaceRace,ContextCategory,ContextSubCategory,ContextFileName
1,1,1,3,Positive,30,Male,NeutFear,30M_NeutFear_cropped.png,European,Positive,Babies,2040.jpg
1,1,2,3,Positive,38,Male,NeutHappy,38M_NeutHappy_cropped.png,African,Positive,Scenic,5830.jpg
1,1,3,3,Positive,38,Male,NeutFear,38M_NeutFear_cropped.png,African,Positive,Animals,1920.jpg
1,1,4,3,Positive,1,Female,NeutFear,01F_NeutFear_cropped.png,European,Positive,Kids,2154.jpg
1,2,5,3,Negative,31,Male,NeutHappy,31M_NeutHappy_cropped.png,European,Negative,SadPeople,2141.jpg
1,2,6,3,Negative,41,Male,NeutFear,41M_NeutFear_cropped.png,African,Negative,Others,9415.jpg
1,2,7,3,Negative,14,Female,NeutFear,14F_NeutFear_cropped.png,African,Negative,Animals,9145.jpg
1,2,8,3,Negative,31,Male,NeutFear,31M_NeutFear_cropped.png,European,Negative,Animals,9561.jpg
1,3,9,2,Positive,14,Female,NeutHappy,14F_NeutHappy_cropped.png,African,Positive,Fun,8210.jpg
1,3,10,2,Positive,22,Male,NeutFear,22M_NeutFear_cropped.png,European,Positive,Fun,8496.jpg
1,3,11,2,Positive,3,Female,NeutFear,03F_NeutFear_cropped.png,Latino,Positive,Kids,2340.jpg
1,3,12,2,Positive,43,Male,NeutHappy,43M_NeutHappy_cropped.png,African,Positive,Scenic,5760.jpg
1,4,13,2,Negative,30,Male,NeutHappy,30M_NeutHappy_cropped.png,European,Negative,Trash,9342.jpg
1,4,14,2,Negative,2,Female,NeutHappy,02F_NeutHappy_cropped.png,European,Negative,War,9424.jpg
1,4,15,2,Negative,9,Female,NeutFear,09F_NeutFear_cropped.png,European,Negative,Others,3180.jpg
1,4,16,2,Negative,36,Male,NeutFear,36M_NeutFear_cropped.png,European,Negative,War,9425.jpg
1,5,17,2,Positive,8,Female,NeutHappy,08F_NeutHappy_cropped.png,European,Positive,Scenic,5831.jpg
1,5,18,2,Positive,39,Male,NeutHappy,39M_NeutHappy_cropped.png,African,Positive,Kids,2035.jpg
1,5,19,2,Positive,26,Male,NeutFear,26M_NeutFear_cropped.png,European,Positive,Foods,7330.jpg
1,5,20,2,Positive,2,Female,NeutFear,02F_NeutFear_cropped.png,European,Positive,Babies,2070.jpg
1,6,21,3,Positive,23,Male,NeutFear,23M_NeutFear_cropped.png,European,Positive,Scenic,5833.jpg
1,6,22,3,Positive,32,Male,NeutHappy,32M_NeutHappy_cropped.png,European,Positive,Fun,2216.jpg
1,6,23,3,Positive,25,Male,NeutFear,25M_NeutFear_cropped.png,European,Positive,Others,2395.jpg
1,6,24,3,Positive,15,Female,NeutFear,15F_NeutFear_cropped.png,Asian,Positive,Others,8380.jpg
1,7,25,2,Negative,41,Male,NeutHappy,41M_NeutHappy_cropped.png,African,Negative,SadPeople,9530.jpg
1,7,26,2,Negative,13,Female,NeutFear,13F_NeutFear_cropped.png,African,Negative,Death,3230.jpg
1,7,27,2,Negative,17,Female,NeutHappy,17F_NeutHappy_cropped.png,Asian,Negative,Trash,9291.jpg
1,7,28,2,Negative,34,Male,NeutFear,34M_NeutFear_cropped.png,European,Negative,SadPeople,2276.jpg
1,8,29,1,Positive,25,Male,NeutHappy,25M_NeutHappy_cropped.png,European,Positive,Animals,1610.jpg
1,8,30,1,Positive,24,Male,NeutHappy,24M_NeutHappy_cropped.png,European,Positive,Fun,8420.jpg
1,8,31,1,Positive,9,Female,NeutHappy,09F_NeutHappy_cropped.png,European,Positive,Animals,1710.jpg
1,8,32,1,Positive,6,Female,NeutFear,06F_NeutFear_cropped.png,European,Positive,Foods,7200.jpg
1,9,33,1,Negative,13,Female,NeutHappy,13F_NeutHappy_cropped.png,African,Negative,War,9400.jpg
1,9,34,1,Negative,16,Female,NeutHappy,16F_NeutHappy_cropped.png,Asian,Negative,Others,2345.1.jpg
1,9,35,1,Negative,21,Male,NeutFear,21M_NeutFear_cropped.png,European,Negative,SadPeople,2900.jpg
1,9,36,1,Negative,3,Female,NeutHappy,03F_NeutHappy_cropped.png,Latino,Negative,War,9430.jpg
1,10,37,1,Negative,42,Male,NeutHappy,42M_NeutHappy_cropped.png,African,Negative,Others,6200.jpg
1,10,38,1,Negative,22,Male,NeutHappy,22M_NeutHappy_cropped.png,European,Negative,War,9427.jpg
